catalog_label,control_label,relation_label,technique,technique_label,definition
CCI Catalog v2022-04-05,CCI-000015,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,The organization employs automated mechanisms to support the information system account management functions.
CCI Catalog v2022-04-05,CCI-000015,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainAccountMonitoring,Domain Account Monitoring,The organization employs automated mechanisms to support the information system account management functions.
CCI Catalog v2022-04-05,CCI-000015,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#LocalAccountMonitoring,Local Account Monitoring,The organization employs automated mechanisms to support the information system account management functions.
CCI Catalog v2022-04-05,CCI-000016,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,The information system automatically removes or disables temporary accounts after an organization-defined time period for each type of account.
CCI Catalog v2022-04-05,CCI-000017,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,The information system automatically disables inactive accounts after an organization-defined time period.
CCI Catalog v2022-04-05,CCI-000018,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainAccountMonitoring,Domain Account Monitoring,The information system automatically audits account creation actions.
CCI Catalog v2022-04-05,CCI-000020,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system dynamically manages user privileges and associated access authorizations.
CCI Catalog v2022-04-05,CCI-000022,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system enforces one or more organization-defined nondiscretionary access control policies over an organization-defined set of users and resources.
CCI Catalog v2022-04-05,CCI-000025,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,"The information system enforces information flow control using explicit security attributes on information, source, and destination objects as a basis for flow control decisions."
CCI Catalog v2022-04-05,CCI-000025,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,"The information system enforces information flow control using explicit security attributes on information, source, and destination objects as a basis for flow control decisions."
CCI Catalog v2022-04-05,CCI-000027,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system enforces dynamic information flow control based on organization-defined policies.
CCI Catalog v2022-04-05,CCI-000027,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system enforces dynamic information flow control based on organization-defined policies.
CCI Catalog v2022-04-05,CCI-000029,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system enforces organization-defined limitations on the embedding of data types within other data types.
CCI Catalog v2022-04-05,CCI-000029,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system enforces organization-defined limitations on the embedding of data types within other data types.
CCI Catalog v2022-04-05,CCI-000030,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system enforces information flow control based on organization-defined metadata.
CCI Catalog v2022-04-05,CCI-000030,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system enforces information flow control based on organization-defined metadata.
CCI Catalog v2022-04-05,CCI-000032,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system enforces information flow control using organization-defined security policy filters as a basis for flow control decisions for organization-defined information flows.
CCI Catalog v2022-04-05,CCI-000032,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system enforces information flow control using organization-defined security policy filters as a basis for flow control decisions for organization-defined information flows.
CCI Catalog v2022-04-05,CCI-000034,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system provides the capability for a privileged administrator to enable/disable organization-defined security policy filters under organization-defined conditions.
CCI Catalog v2022-04-05,CCI-000034,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system provides the capability for a privileged administrator to enable/disable organization-defined security policy filters under organization-defined conditions.
CCI Catalog v2022-04-05,CCI-000035,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system provides the capability for privileged administrators to configure the organization-defined security policy filters to support different security policies.
CCI Catalog v2022-04-05,CCI-000035,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system provides the capability for privileged administrators to configure the organization-defined security policy filters to support different security policies.
CCI Catalog v2022-04-05,CCI-000037,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#LocalFilePermissions,Local File Permissions,The organization implements separation of duties through assigned information system access authorizations.
CCI Catalog v2022-04-05,CCI-000037,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The organization implements separation of duties through assigned information system access authorizations.
CCI Catalog v2022-04-05,CCI-000037,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The organization implements separation of duties through assigned information system access authorizations.
CCI Catalog v2022-04-05,CCI-000040,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#AuthorizationEventThresholding,Authorization Event Thresholding,"The organization audits any use of privileged accounts, or roles, with access to organization-defined security functions or security-relevant information, when accessing other system functions."
CCI Catalog v2022-04-05,CCI-000040,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#LocalAccountMonitoring,Local Account Monitoring,"The organization audits any use of privileged accounts, or roles, with access to organization-defined security functions or security-relevant information, when accessing other system functions."
CCI Catalog v2022-04-05,CCI-000044,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,The information system enforces the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.
CCI Catalog v2022-04-05,CCI-000047,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,"The information system delays next login prompt according to the organization-defined delay algorithm, when the maximum number of unsuccessful attempts is exceeded, automatically locks the account/node for an organization-defined time period or locks the account/node until released by an Administrator IAW organizational policy."
CCI Catalog v2022-04-05,CCI-000056,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,The information system retains the session lock until the user reestablishes access using established identification and authentication procedures.
CCI Catalog v2022-04-05,CCI-000057,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,The information system initiates a session lock after the organization-defined time period of inactivity.
CCI Catalog v2022-04-05,CCI-000058,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,The information system provides the capability for users to directly initiate session lock mechanisms.
CCI Catalog v2022-04-05,CCI-000060,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image."
CCI Catalog v2022-04-05,CCI-000066,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#RemoteTerminalSessionDetection,Remote Terminal Session Detection,The organization enforces requirements for remote connections to the information system.
CCI Catalog v2022-04-05,CCI-000067,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#RemoteTerminalSessionDetection,Remote Terminal Session Detection,The information system monitors remote access methods.
CCI Catalog v2022-04-05,CCI-000068,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedTunnels,Encrypted Tunnels,The information system implements cryptographic mechanisms to protect the confidentiality of remote access sessions.
CCI Catalog v2022-04-05,CCI-000071,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#RemoteTerminalSessionDetection,Remote Terminal Session Detection,The organization monitors for unauthorized remote connections to the information system on an organization-defined frequency.
CCI Catalog v2022-04-05,CCI-000139,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemDaemonMonitoring,System Daemon Monitoring,The information system alerts designated organization-defined personnel or roles in the event of an audit processing failure.
CCI Catalog v2022-04-05,CCI-000143,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemDaemonMonitoring,System Daemon Monitoring,The information system provides a warning when allocated audit record storage volume reaches an organization-defined percentage of maximum audit record storage capacity.
CCI Catalog v2022-04-05,CCI-000144,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemDaemonMonitoring,System Daemon Monitoring,The information system provides a real-time alert when organization-defined audit failure events occur.
CCI Catalog v2022-04-05,CCI-000162,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,Credential Hardening,The information system protects audit information from unauthorized access.
CCI Catalog v2022-04-05,CCI-000163,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#PlatformHardening,Platform Hardening,The information system protects audit information from unauthorized modification.
CCI Catalog v2022-04-05,CCI-000163,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The information system protects audit information from unauthorized modification.
CCI Catalog v2022-04-05,CCI-000164,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#PlatformHardening,Platform Hardening,The information system protects audit information from unauthorized deletion.
CCI Catalog v2022-04-05,CCI-000185,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,Credential Hardening,"The information system, for PKI-based authentication, validates certifications by constructing and verifying a certification path to an accepted trust anchor including checking certificate status information."
CCI Catalog v2022-04-05,CCI-000186,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,Credential Hardening,"The information system, for PKI-based authentication, enforces authorized access to the corresponding private key."
CCI Catalog v2022-04-05,CCI-000187,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,Credential Hardening,"The information system, for PKI-based authentication, maps the authenticated identity to the account of the individual or group."
CCI Catalog v2022-04-05,CCI-000192,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,The information system enforces password complexity by the minimum number of upper case characters used.
CCI Catalog v2022-04-05,CCI-000193,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,The information system enforces password complexity by the minimum number of lower case characters used.
CCI Catalog v2022-04-05,CCI-000194,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,The information system enforces password complexity by the minimum number of numeric characters used.
CCI Catalog v2022-04-05,CCI-000195,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,"The information system, for password-based authentication, when new passwords are created, enforces that at least an organization-defined number of characters are changed."
CCI Catalog v2022-04-05,CCI-000196,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,"The information system, for password-based authentication, stores only cryptographically-protected passwords."
CCI Catalog v2022-04-05,CCI-000197,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,"The information system, for password-based authentication, transmits only cryptographically-protected passwords."
CCI Catalog v2022-04-05,CCI-000198,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,The information system enforces minimum password lifetime restrictions.
CCI Catalog v2022-04-05,CCI-000199,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,The information system enforces maximum password lifetime restrictions.
CCI Catalog v2022-04-05,CCI-000200,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,The information system prohibits password reuse for the organization-defined number of generations.
CCI Catalog v2022-04-05,CCI-000205,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,The information system enforces minimum password length.
CCI Catalog v2022-04-05,CCI-000213,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#BiometricAuthentication,Biometric Authentication,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
CCI Catalog v2022-04-05,CCI-000213,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#Certificate-basedAuthentication,Certificate-based Authentication,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
CCI Catalog v2022-04-05,CCI-000213,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
CCI Catalog v2022-04-05,CCI-000213,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
CCI Catalog v2022-04-05,CCI-000218,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,"The information system, when transferring information between different security domains, identifies information flows by data type specification and usage."
CCI Catalog v2022-04-05,CCI-000218,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,"The information system, when transferring information between different security domains, identifies information flows by data type specification and usage."
