query_def_tech_label,top_def_tech_label,def_tactic_label,def_tactic_rel_label,def_tech_label,def_artifact_rel_label,def_artifact_label,off_artifact_label,off_artifact_rel_label,off_tech_label,off_tech_id,off_tech_parent_label,off_tech_parent_is_toplevel,off_tactic_rel_label,off_tactic_label,def_tactic,def_tactic_rel,def_tech,def_artifact_rel,def_artifact,off_artifact,off_artifact_rel,off_tech,off_tech_parent,off_tactic_rel,off_tactic
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Access Token,accesses,Steal Application Access Token,T1528,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1528,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,accesses,Steal Application Access Token,T1528,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1528,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Kerberos Ticket,may-access,Steal or Forge Kerberos Tickets,T1558,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#KerberosTicket,http://d3fend.mitre.org/ontologies/d3fend.owl#may-access,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Kerberos Ticket,may-create,Steal or Forge Kerberos Tickets,T1558,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#KerberosTicket,http://d3fend.mitre.org/ontologies/d3fend.owl#may-create,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Encrypted Credential,accesses,Keychain,T1142,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedCredential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1142,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Kerberos Ticket,may-access,Steal or Forge Kerberos Tickets,T1558,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#KerberosTicket,http://d3fend.mitre.org/ontologies/d3fend.owl#may-access,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Kerberos Ticket,may-create,Steal or Forge Kerberos Tickets,T1558,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#KerberosTicket,http://d3fend.mitre.org/ontologies/d3fend.owl#may-create,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Encrypted Credential,accesses,Cached Domain Credentials,T1003.005,OS Credential Dumping,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedCredential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003.005,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Encrypted Credential,accesses,/etc/passwd and /etc/shadow,T1003.008,OS Credential Dumping,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedCredential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003.008,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,creates,Additional Cloud Credentials,T1098.001,Account Manipulation,false,enables,Persistence,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#creates,http://d3fend.mitre.org/ontologies/d3fend.owl#T1098.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1098,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0003
